edad;raza dominante;emocion;genero;archivo;id
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-84.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-85.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;sad;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-86.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
28;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-87.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
28;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-88.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
28;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-89.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-9.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
28;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-90.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
28;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-91.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-92.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-93.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-94.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-95.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-96.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-97.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
26;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-98.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
27;latino hispanic;neutral;Man;0a85cef5-12c3-4b18-a582-9b08e9965e73-99.png;0a85cef5-12c3-4b18-a582-9b08e9965e73
